country,Q3,Q5,Q40,Q41,Q43,Q131,Q142,Q150,Q46,Q49,Q22,Q182,Q209,Q218,Q57,Q58,Q59,Q60,Q61,Q62,Q63
Macau,1.663064833005894,1.9269496544916092,2.4852362204724407,2.8045186640471513,1.7389597644749755,1.7504911591355599,2.8675171736997056,1.8113948919449903,1.9550342130987293,6.459882583170255,1.563819095477387,5.258570029382958,2.3506366307541624,2.414945919370698,1.56198347107438,1.252199413489736,2.1284313725490196,1.9755381604696673,2.7681728880157173,2.637524557956778,2.667976424361493
Morocco,1.8925,1.2233333333333334,2.1025,2.3625,2.4433333333333334,1.9933333333333334,2.3408333333333333,1.7495784148397977,2.0566666666666666,6.681666666666667,1.2008333333333334,2.77,2.315,2.3325,1.835,1.4225,2.325833333333333,2.2758333333333334,2.97,2.9066666666666667,2.910833333333333
Maldives,1.6727799227799227,1.4342359767891684,2.229428848015489,2.751210067763795,2.6375121477162295,2.0,1.8279883381924198,1.7785299806576402,1.8502415458937198,7.3018322082931535,1.1453320500481232,1.2610789980732178,2.0425531914893615,2.3951456310679613,1.786757546251217,1.21944177093359,2.1150870406189557,1.965284474445516,3.332686711930165,3.1666666666666665,2.929411764705882
Mexico,1.5764367816091953,1.3097701149425287,2.102771362586605,2.2081891580161477,2.0594002306805077,2.422081656124209,1.4645533141210374,1.7223502304147464,1.5025847214244687,8.13735632183908,1.7701612903225807,4.338661930136175,2.45066358915176,2.705491852745926,1.8970080552359034,1.3555427914991385,2.504602991944764,2.631609195402299,3.4091954022988507,2.9732713538640327,3.178592204770215
Myanmar,2.0875,1.2716666666666667,1.5241666666666667,1.6891666666666667,2.5625,1.62,1.8916666666666666,1.8858333333333333,1.825,7.2,1.0866666666666667,1.7214345287739783,2.733738074588031,,1.8491666666666666,1.2591666666666668,2.1591666666666667,2.075833333333333,2.7291666666666665,3.111666666666667,3.1325
Mongolia,1.8675213675213675,1.7246642246642248,2.415140415140415,2.625152625152625,1.8205128205128205,2.2124923453766074,2.3150183150183152,1.692918192918193,2.13003663003663,6.456043956043956,1.547008547008547,3.8742368742368742,1.7326007326007327,2.2326007326007327,1.7250459277403551,1.3021978021978022,2.0641025641025643,2.068986568986569,2.8968253968253967,2.9383394383394386,3.031135531135531
Malaysia,1.6252856054836253,1.5148514851485149,1.9847677075399848,2.5575019040365574,2.128712871287129,2.3876618431073875,1.728103579588728,1.7189642041127189,1.9718202589489717,6.989337395277989,1.396039603960396,3.594059405940594,2.0974866717440976,2.162985529322163,1.8042650418888042,1.2757044935262758,2.1881188118811883,1.987052551408987,3.1195734958111196,2.5163747143945163,2.8217821782178216
Nigeria,1.402429149797571,1.1642156862745099,1.7036437246963563,1.8815896188158963,2.069558101472995,2.1131770412287794,1.6026711185308848,1.719869706840391,1.8913219789132198,5.617313915857605,1.1099434114793856,1.5,2.5909863945578233,2.647562018819504,1.8731707317073172,1.5299837925445705,2.2963562753036437,2.3398058252427183,3.038866396761134,2.708367181153534,2.933387489845654
Nicaragua,1.695,1.3366666666666667,2.035,2.255,2.4358333333333335,1.9291666666666667,1.8233333333333333,1.6533333333333333,1.6666666666666667,7.943333333333333,1.6675,3.2641666666666667,2.5208333333333335,2.787487586891758,1.9575,1.5566666666666666,2.7666666666666666,2.46,3.4491666666666667,2.9133333333333336,3.3358333333333334
Northern Ireland,1.6224719101123595,2.06981981981982,2.444943820224719,3.5493273542600896,1.764840182648402,1.8853932584269664,2.9560117302052786,1.4709976798143851,1.6539325842696628,7.486547085201794,1.9192825112107623,6.593533487297922,1.385135135135135,1.7806603773584906,1.5926773455377574,1.222972972972973,1.858744394618834,1.5258426966292136,2.5918367346938775,1.988558352402746,2.0711009174311927
Netherlands,1.495242626070409,1.988365650969529,2.729649728663049,3.605352798053528,1.8476517754868271,1.9079143852663016,3.2404109589041097,1.5419287211740043,1.8388998035363457,7.357246728065923,1.9766650461837627,9.03134962805526,1.5601249349297241,1.788040576615056,1.3879443585780527,1.2130584192439862,1.7469199178644763,1.4258893280632412,2.3298319327731094,2.0135933806146573,2.043956043956044
New Zealand,1.570854271356784,1.9823284823284824,2.7492447129909365,3.4752475247524752,1.7662988966900701,1.77179236043095,3.114669421487603,1.4703389830508475,1.7347140039447733,7.545365853658536,1.924314096499527,7.327922077922078,1.2267839687194526,1.831702544031311,1.4049751243781095,1.213385063045587,1.9425403225806452,1.5102439024390244,2.5180851063829786,2.1672727272727275,2.1463133640552994
Pakistan,2.2585858585858585,1.608761329305136,1.6204637096774193,1.7163192679206913,2.102082275266633,1.84510595358224,1.6274708565636087,1.5484693877551021,1.6532865027596588,7.669354838709677,1.5884711779448621,1.5824175824175823,2.580681818181818,2.7539203860072377,1.765032844871147,1.2992957746478873,1.9768495218923,1.857359635811836,2.964992389649924,3.074418604651163,3.148325358851675
Peru,1.9173850574712643,1.3256814921090387,2.115606936416185,2.2630057803468207,2.276934201012292,2.8783977110157366,1.689554419284149,1.8465991316931982,1.8293906810035843,7.634670487106018,1.6444605358435915,2.845864661654135,2.3350553505535054,2.6766370250606304,1.9469534050179211,1.3917083631165117,2.896280400572246,2.804581245526127,3.518651362984218,3.111516034985423,3.401603498542274
Philippines,2.341117597998332,1.0866666666666667,1.8583333333333334,2.235,1.6308333333333334,1.9816666666666667,1.5858333333333334,1.6814011676396998,1.5838198498748957,7.368333333333333,1.8308333333333333,4.57,2.4825,2.7850574712643676,1.9465329991645781,1.1891666666666667,2.13,2.050041701417848,2.9791666666666665,2.691666666666667,2.9316666666666666
Puerto Rico,1.4176313446126447,1.3987511150758252,2.0528200537153087,3.1009830205540663,2.4768270944741535,1.7008014247551202,2.2288288288288287,1.7600716204118174,1.6016042780748663,8.404634581105169,1.8748890860692102,5.578707916287534,2.1575157515751577,2.2875586854460095,1.82168458781362,1.4466192170818506,2.132562277580071,1.9341637010676156,3.1016949152542375,2.368279569892473,2.4228007181328546
Romania,1.7410358565737052,1.7318435754189945,2.2590216519647153,2.348521183053557,2.485453034081463,1.7967741935483872,2.6847161572052403,1.6569343065693432,2.0597738287560583,7.1836407377706495,1.435562805872757,2.3424423569598636,2.371152154793316,2.565638766519824,1.881260096930533,1.257781324820431,2.6141479099678455,2.330658105939005,3.276174773289365,2.901521933751119,2.9724199288256226
Russia,1.8232013385387618,1.9632516703786191,2.5914462577377604,2.851160158460668,2.215929203539823,2.253093363329584,2.445694991558807,1.756210283073368,2.0193291642978966,6.546518105849582,1.343646408839779,2.6045130641330165,2.433158201984822,2.557926829268293,1.7609065155807366,1.1772853185595569,2.1402131239484015,2.046875,3.0474040632054176,2.7768948655256724,2.7483241925655086
Singapore,1.8409542743538767,1.8659022931206382,2.342786069651741,2.9965191447041275,1.9900049975012495,1.7084577114427861,2.3129287598944592,1.7883358471593767,1.8596316575410652,6.985564957690393,1.7385685884691848,3.447686116700201,2.4145363408521305,2.499748617395676,1.66016016016016,1.24601593625498,2.1590229312063807,1.8898854010961634,3.0134730538922154,2.522517911975435,2.63302752293578
Serbia,1.6586538461538463,1.7573099415204678,2.355250245338567,2.5417895771878074,2.288911495422177,2.043186180422265,2.1180698151950716,1.443359375,2.0441458733205375,6.704061895551257,1.3736791546589817,3.8555442522889116,2.0981404958677685,2.492849284928493,1.8338192419825072,1.1648987463837994,2.205911330049261,1.9556412729026036,2.9609375,2.5577492596248765,2.5616979269496545
Slovakia,1.6196830692243536,1.9018612521150593,2.309623430962343,2.551839464882943,1.901639344262295,2.161641541038526,2.9040852575488456,1.6986531986531987,2.3043478260869565,6.78,1.587382779198636,4.909498207885305,1.7358649789029537,2.2633390705679863,1.7840336134453783,1.3185988323603002,2.0025020850708923,1.995,2.866498740554156,2.60625,2.7306338028169015
Thailand,2.0382775119617227,1.5633039945836154,2.366089965397924,2.4603616133518775,2.267433501078361,1.9937845303867403,2.139784946236559,1.6873315363881403,1.8453815261044177,6.597324414715719,1.6486666666666667,4.208080808080808,2.4732262382864794,2.5214574898785425,1.6863157894736842,1.1802403204272363,1.9183400267737618,2.00201072386059,2.9171717171717173,2.745956873315364,2.8609986504723346
Tajikistan,2.1825,1.5683333333333334,1.4308333333333334,1.7466666666666666,2.4075,1.2708333333333333,2.5433333333333334,1.6566666666666667,1.4341666666666666,7.949166666666667,,,2.7191666666666667,2.8666666666666667,1.7941666666666667,1.0583333333333333,1.9966666666666666,2.2575,3.4158333333333335,3.424166666666667,3.2908333333333335
Tunisia,1.7885572139303483,1.2378964941569282,1.4495033112582782,1.7296849087893864,2.366056572379368,1.5830564784053156,1.6227598566308243,1.8179508890770533,2.113598673300166,5.521955260977631,1.4214659685863875,1.4120100083402836,2.692236598890943,2.794358507734304,1.8575085324232081,1.398834304746045,2.1993355481727574,2.2091286307053943,2.962624584717608,2.9354568315171834,2.9424040066777963
Turkey,1.5356846473029047,1.7225457570715474,2.2385166455962917,2.5823106220905627,1.944421052631579,2.180590717299578,2.016941176470588,1.6014339940953184,1.9434981304528458,6.518087318087318,1.2145922746781115,2.077020736352095,2.40337224383917,2.4777041942604856,1.8573839662447258,1.2067965188561955,2.0141196013289036,2.224574512245745,3.00124584717608,2.844386649328132,2.869883670831538
Taiwan,1.6737530662305806,1.5110384300899429,2.2729508196721313,2.900163666121113,2.493355481727575,1.563368765331153,2.1488143908421913,1.8718159408381265,1.8601798855273917,7.068683565004088,1.5560098119378578,4.351594439901881,2.2101390024529843,2.5224856909239577,1.6901062959934587,1.214227309893704,2.098937040065413,1.8454619787408013,2.7923139820114473,2.465249386753884,2.622240392477514
Ukraine,1.8479117415287627,1.872138910812944,2.8514056224899598,2.897353648757017,2.128747795414462,2.100398406374502,2.1506410256410255,1.6869918699186992,2.0343450479233227,6.0965189873417724,1.504704875962361,2.732245681381958,2.34315424610052,2.4717994628469113,1.6934713375796178,1.2384313725490197,2.132966168371361,2.172169811320755,2.9407407407407407,2.6301498127340825,2.609665427509294
Uruguay,1.5598377281947262,1.3556231003039514,2.5508130081300813,2.8796764408493427,2.144777662874871,2.1072144288577155,1.8664596273291925,1.483837330552659,1.66359918200409,8.128128128128129,1.951,6.831154684095861,1.9234800838574424,2.2882483370288247,1.8514056224899598,1.4149043303121853,2.32725430597771,1.9939086294416244,3.171954964176049,2.694186046511628,2.634396355353075
United States,1.7300542215336947,1.8549262994569433,2.4413018209996125,3.2494181536074476,1.943454686289698,2.2605497483546264,2.8352118150019434,1.2905882352941176,1.8821483771251932,7.222222222222222,1.8714579055441478,6.496865203761756,1.4597432905484247,1.6650738488271069,1.6026285272516427,1.463292117465224,2.238003095975232,1.803723816912335,2.7701238390092877,2.225555122711336,2.2165431135388216
Uzbekistan,2.2315112540192925,1.533279871692061,2.020358306188925,2.25,1.7826810990840967,1.5713121434392827,2.15,1.5777027027027026,1.5280716029292107,6.960664335664336,1.7584,,2.3890977443609023,2.4695652173913043,1.6528925619834711,1.1902086677367576,2.1995172968624295,2.427074939564867,3.1860276198212834,3.016949152542373,2.9027895181741337
Venezuela,1.7042016806722688,1.4428571428571428,2.0983193277310925,2.342857142857143,2.5621848739495796,2.36218487394958,1.8722689075630252,1.4983193277310924,1.8714285714285714,7.016806722689076,1.6840336134453782,4.180672268907563,2.357983193277311,2.626890756302521,1.857983193277311,1.357983193277311,2.3781512605042017,2.4252100840336133,3.2521008403361344,2.842857142857143,3.0016806722689076
Vietnam,2.2416666666666667,1.3591666666666666,1.9666666666666666,2.1691666666666665,2.1425,1.9433333333333334,1.5478991596638656,1.6758333333333333,1.5525,8.025833333333333,1.2391666666666667,5.6425,2.716666666666667,2.867311072056239,1.7233333333333334,1.0675,1.995,2.1333333333333333,2.8725,2.7316666666666665,2.8466666666666667
Zimbabwe,1.8395061728395061,1.1350906095551894,1.7932454695222406,1.9141914191419143,2.424567188788129,2.1779242174629325,1.5128205128205128,1.7159372419488026,2.4637561779242176,4.950576606260297,1.0990016638935107,1.716996699669967,2.5575,2.6796200345423142,1.9785831960461284,1.2759472817133444,2.2411230388109002,2.262984336356142,3.125516102394715,2.5012427506213752,2.827098919368246
